ch_sample,sol_number,Ref_EC,Date,Volumetric,Ka_trace,Zero_Time,t_s,t_f,t_dif,int_time,Probee_index,Probe_type,Probe_L,L,Ka,v0,v1a,v1,sf,v3,vf,vr,EC_Dalton,ECtopp,
[2676],"27    Sol 16
Name: S",0.1567,2    5/30/23,100,44.9,29285,4120,5907,1.79E-09,20,2,BCT,8,0.08,44.84463947,1699,698,1514,16.48120301,710,3210,2500,0,,
[2673],"27    Sol 15
Name: S",0.241,2    5/30/23,77.3,56,29045,4067,6416,2.35E-09,20,1,BUR,7.8,0.078,81.51137778,3419,2218,3347,9.815789474,2219,2775,556,0.425160981,0.245229239,
[2672],"27    Sol 14
Name: S",0.282,2    5/30/23,77.5,56.2,29045,4070,6420,2.35E-09,20,1,BUR,7.8,0.078,81.58079347,3483,2247,3406,8.05112782,2247,2702,455,0.490803924,0.284344006,
[2671],"27    Sol 13
Name: S",0.258,2    5/30/23,79.3,58.4,29045,4106,6418,2.31E-09,20,1,BUR,7.8,0.078,78.96376729,3450,2234,3347,9.027819549,2235,2742,507,0.448530252,0.257965718,
[2670],"27    Sol 16
Name: S",0.1567,2    5/30/23,93.9,75.1,29045,4100,6411,2.31E-09,20,1,BUR,7.8,0.078,78.89547431,3230,2103,3119,13.65263158,2106,2991,885,0.262010461,0.159663827,
[2667],"27    Sol 15
Name: S",0.241,2    5/30/23,-1,40.5,27120,4160,16127,1.20E-08,20,5,FLD,40,0.4,80.44369399,3735,2150,3727,0.905263158,2155,2295,140,0.162689045,0.248253764,
[2666],"27    Sol 14
Name: S",0.282,2    5/30/23,-1,40.5,27120,4160,16325,1.22E-08,20,5,FLD,40,0.4,83.12767803,3775,2123,3762,0.763157895,2134,2255,121,0.173611392,0.283693425,
[2665],"27    Sol 13
Name: S",0.258,2    5/30/23,-1,40.5,27120,4180,16288,1.21E-08,20,5,FLD,40,0.4,82.3505014,3763,2146,3750,0.833834586,2151,2282,131,0.168494653,0.266865312,
[2664],"27    Sol 16
Name: S",0.1567,2    5/30/23,-1,40.5,27120,4180,16108,1.19E-08,20,5,FLD,40,0.4,79.92022246,3646,2195,3630,2.103007519,2198,2431,233,0.13311639,0.167231601,
[2661],"27    Sol 15
Name: S",0.241,2    5/30/23,99.9,40.5,27780,4160,12643,8.48E-09,20,6,FCT,40,0.4,40.42223822,2818,2515,2794,4.371428571,2531,3391,860,0.045534099,0.247039944,
[2660],"27    Sol 14
Name: S",0.282,2    5/30/23,99.9,40.9,27780,4160,12687,8.53E-09,20,6,FCT,40,0.4,40.84265343,2898,2582,2879,3.718045113,2595,3339,744,0.05297282,0.279823245,
[2659],"27    Sol 13
Name: S",0.258,2    5/30/23,98.7,40,27780,4160,12588,8.43E-09,20,6,FCT,40,0.4,39.89977779,2863,2559,2842,3.878195489,2571,3383,812,0.048302997,0.25907625,
[2657],"27    Sol 16
Name: S",0.1567,2    5/30/23,99.9,40.4,27780,4100,12576,8.48E-09,20,6,FCT,40,0.4,40.35555452,2450,2295,2431,6.663909774,2327,3419,1092,0.03188815,0.175628886,
