ch_sample,sol_number,Ref_EC,Date,Volumetric,Ka_trace,Zero_Time,t_s,t_f,t_dif,int_time,Probee_index,Probe_type,Probe_L,L,Ka,v0,v1a,v1,sf,v3,vf,vr,EC_Dalton,ECtopp,
[2488],"27    Sol 6
Name: S",0.414,2    4/11/23,100,45.9,29225,4120,5927,1.81E-09,20,2,BCT,8,0.08,45.85405388,1703,610,1539,10.57368421,622,3282,2660,0,,
[2487],"27    Sol 2
Name: S",0.1552,2    4/11/23,100,45.8,29225,4120,5925,1.81E-09,20,2,BCT,8,0.08,45.75260689,1699,702,1534,16.03383459,706,3210,2504,0,,
[2486],"27    Sol 1
Name: S",0.0796,2    4/11/23,100,44.6,29225,4140,5920,1.78E-09,20,2,BCT,8,0.08,44.49399857,1699,734,1519,19.34511278,758,3283,2525,0,,
[2485],"27    Vat1
Name: S",0.0511,2    4/11/23,100,47,29225,4120,5948,1.83E-09,20,2,BCT,8,0.08,46.92603008,1706,750,1535,20.33533835,771,3387,2616,0,,
[2484],"27    Sol 10
Name: S",0.007,2    4/11/23,40.9,20,29225,4120,5313,1.19E-09,20,2,BCT,8,0.08,19.9867564,1718,1142,1542,28.87819549,1142,3862,2720,0,,
[2483],"27    Sol 5
Name: S",0.00735,2    4/11/23,100,46.2,29225,4120,5932,1.81E-09,20,2,BCT,8,0.08,46.10816287,1694,770,1534,22.77142857,803,3811,3008,0,,
[2481],"27    Sol 11
Name: S",0,2    4/11/23,0,1.9,29225,4100,4467,3.67E-10,20,2,BCT,8,0.08,1.891444317,1702,1579,1579,39.92406015,1775,4031,2256,0,,
[2474],"27    Sol 7
Name: S",0.437,2    4/8/23,99.9,42.6,27780,4160,12859,8.70E-09,20,6,FCT,40,0.4,42.50696377,3131,2814,3122,1.603007519,2815,3187,372,0.087545098,0.415514509,
[2472],"27    Sol 6
Name: S",0.414,2    4/8/23,99.9,42.5,27780,4160,12852,8.69E-09,20,6,FCT,40,0.4,42.43858142,3102,2790,3095,1.957894737,2791,3207,416,0.082272667,0.396152571,
[2473],"27    Vat 2
Name: S",0.424,2    4/8/23,99.9,43.4,27780,4160,12948,8.79E-09,20,6,FCT,40,0.4,43.38119586,3115,2798,3103,1.786466165,2802,3183,381,0.087193831,0.41433822,
[2470],"27    Sol2
Name: S",0.1552,2    4/8/23,97.3,39.5,27780,4160,12545,8.38E-09,20,6,FCT,40,0.4,39.49367583,2590,2311,2575,6.876691729,2342,3471,1129,0.030424339,0.176966212,
[2471],"27    Sol1
Name: S",0.0796,2    4/8/23,96.7,39.4,27780,4180,12545,8.36E-09,20,6,FCT,40,0.4,39.30549896,2267,2034,2263,10.41052632,2086,3490,1404,0.016468975,0.106426583,
[2469],"27    Vat1
Name: S",0.0511,2    4/8/23,97,39.5,27780,4160,12536,8.38E-09,20,6,FCT,40,0.4,39.40894063,2095,1895,2070,12.70827068,1966,3510,1544,0.01006393,0.070528279,
[2468],"27    Sol 10
Name: S",0.007,2    4/8/23,42.5,18.8,27780,4160,9943,5.78E-09,20,6,FCT,40,0.4,18.78571839,1734,1534,1711,20.50676692,2154,3846,1692,0.006942371,-0.000746038,
[2467],"27    Sol 5
Name: S",0.00735,2    4/8/23,96.9,39.4,27780,4200,12571,8.37E-09,20,6,FCT,40,0.4,39.36190484,1754,1535,1747,16.66015038,1767,3783,2016,0,-0.026573958,
